,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
0,Firmy,Motocykle,CF Moto,X6,2022,1 km,800 cm3,64 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,24 miesięcy,Szwecja,Tak,Nowe,,,,,,,,,,,,
1,Osoby prywatnej,Motocykle,Harley-Davidson,Fat Bob,2019,4 900 km,1 868 cm3,94 KM,Łańcuch,Dwusuwowy,Benzyna,Manualna,Chopper,Czarny,,Tak,,,Polska,Tak,Używane,KK247R,Tak,Perłowy,Tak,Tak,,,,,,,
2,Osoby prywatnej,Motocykle,Harley-Davidson,Road King,2018,7 075 km,1 746 cm3,90 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Stany Zjednoczone,,Używane,WK 138C,Tak,Metalik,,Tak,01/01/2018,,,,,,
3,Osoby prywatnej,Motocykle,Honda,CBF,2008,33 056 km,599 cm3,33 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,,,,,Niemcy,Tak,Używane,GD551Y,,,,Tak,17/06/2008,,,,,,
4,Osoby prywatnej,Motocykle,Suzuki,GSX-R,2005,36 000 km,599 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,,Tak,Używane,SJZ 1WM4,,,,,11/05/2004,,,,,,
5,Firmy,Motocykle,Polaris,Sportsman,2022,1 km,567 cm3,44 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Brązowy,Tak,Tak,Tak,,Polska,Tak,Nowe,,,Matowy,,,,,,,,,
6,Firmy,Motocykle,CF Moto,C-Force,2021,1 km,800 cm3,62 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,24 miesięcy,Inny,Tak,Nowe,,,Metalik,,,,,,,,,
7,Firmy,Motocykle,CF Moto,C-Force,2022,1 km,495 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czerwony,Tak,Tak,Tak,24 miesięcy,Inny,Tak,Nowe,,,Metalik,,,,,,,,,
8,Osoby prywatnej,Motocykle,Indian,Scout,2021,1 500 km,1 133 cm3,100 KM,Pas napędowy,,Benzyna,,Chopper,Inny kolor,,,,,,,Używane,,,Matowy,,Tak,,,,,,,
9,Osoby prywatnej,Motocykle,Yamaha,XJR,2013,14 000 km,1 251 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,,Tak,Używane,TLW75UF,Tak,,,Tak,29/03/2018,,,,,,
10,Osoby prywatnej,Motocykle,Honda,CRF,2014,24 km,450 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Czerwony,,,,,Inny,Tak,Używane,,,,,,,,,,,,
11,Osoby prywatnej,Motocykle,Honda,Varadero,2008,22 823 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,,Turystyczny,Srebrny,,,,,Wielka Brytania,Tak,Używane,SZY8VS7,Tak,Metalik,,Tak,30/09/2008,Tak,,,,,
12,Osoby prywatnej,Motocykle,Triumph,Thunderbird,2017,2 060 km,1 699 cm3,98 KM,Pas napędowy,,Benzyna,,Cruiser,Czarny,,Tak,,,Polska,Tak,Używane,ZS 485L,Tak,,Tak,Tak,,,,,,,
13,Osoby prywatnej,Motocykle,Kawasaki,Vulcan,1998,61 000 km,800 cm3,,,Dwusuwowy,Benzyna,,Chopper,Inny kolor,,,,,,Tak,Używane,DX1451,,Matowy,,Tak,,,,,,,
14,Osoby prywatnej,Motocykle,Suzuki,Intruder,2009,38 000 km,1 462 cm3,78 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Polska,Tak,Używane,,,Perłowy,Tak,Tak,,,,,,,
15,Osoby prywatnej,Motocykle,Yamaha,XVS,2017,10 943 km,1 304 cm3,72 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Kanada,,Używane,RZ349U,,Metalik,,Tak,01/01/2017,,,,,,
16,Osoby prywatnej,Motocykle,BMW,LT,2006,25 655 km,,,,,Benzyna,,Turystyczny,Czarny,,,,,,,Używane,,,Perłowy,,,,,,,,,
17,Osoby prywatnej,Motocykle,Can-Am,Maverick,2019,1 600 km,900 cm3,210 KM,Pas napędowy,,Benzyna,Automatyczna,Quad,Czarny,,,,,,,Używane,,,Metalik,,Tak,25/03/2022,Tak,,,,,
18,Osoby prywatnej,Motocykle,Zundapp,KS,1943,50 000 km,680 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Zielony,,,,,Szwajcaria,,Używane,,,,,,,,,,,,
19,Osoby prywatnej,Motocykle,Harley-Davidson,Fat Boy,2009,29 240 km,1 584 cm3,74 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Polska,Tak,Używane,GKA1L33,Tak,Metalik,Tak,Tak,31/05/2010,Tak,,,,,
20,Osoby prywatnej,Motocykle,Yamaha,FZ,2011,34 617 km,998 cm3,148 KM,Łańcuch,,Benzyna,Manualna,Naked,Czarny,,,,,Francja,Tak,Używane,BN-631-SE,,Metalik,,,19/05/2011,,,,,,
21,Osoby prywatnej,Motocykle,Kawasaki,Ninja,2019,7 000 km,650 cm3,68 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Niemcy,,Używane,SR M 515,Tak,Perłowy,,,11/06/2019,,Tak,,,,
22,Osoby prywatnej,Motocykle,Yamaha,XV,1993,10 700 km,531 cm3,46 KM,Wał kardana,Czterosuwowy,Benzyna,,Chopper,Czarny,,,,,Niemcy,Tak,Używane,,Tak,Perłowy,Tak,Tak,22/05/1997,,,,,,
23,Osoby prywatnej,Motocykle,BMW,K,2018,16 200 km,1 600 cm3,160 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,Tak,Używane,,,Metalik,Tak,,,,,Tak,,,
24,Osoby prywatnej,Motocykle,Suzuki,Intruder,2006,17 300 km,1 783 cm3,125 KM,Wał kardana,,Benzyna,Manualna,Chopper,Czarny,,,,,Stany Zjednoczone,,Używane,D9 BULEK,,Perłowy,Tak,,06/12/2006,,,,,,
25,Osoby prywatnej,Motocykle,Suzuki,RF,1996,17 640 km,900 cm3,134 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,Niemcy,Tak,Używane,,Tak,Metalik,,Tak,,,,,,,
26,Osoby prywatnej,Motocykle,Ducati,Monster,2016,8 500 km,1 197 cm3,163 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Włochy,Tak,Używane,,,Metalik,,Tak,,,,,,,
27,Osoby prywatnej,Motocykle,Yamaha,YZF,2017,4 485 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,,Tak,,,Szwajcaria,,Używane,,,Matowy,Tak,,01/06/2017,Tak,,,,,
28,Firmy,Motocykle,BMW,XR,2018,24 310 km,999 cm3,164 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,Polska,Tak,Używane,,Tak,Matowy,Tak,,19/04/2019,,,Tak,,,
29,Firmy,Motocykle,BMW,R,2022,,1 170 cm3,110 KM,,,Benzyna,Manualna,Naked,Czarny,Tak,Tak,Tak,,Polska,Tak,Nowe,,,,,,,,,,,,
30,Firmy,Motocykle,BMW,R,2022,,1 254 cm3,136 KM,,,Benzyna,Manualna,Enduro,Czarny,Tak,Tak,Tak,,Polska,Tak,Nowe,,,,,,,,,,,,
31,Firmy,Motocykle,BMW,R,2022,,1 802 cm3,91 KM,,,Benzyna,Manualna,Cruiser,Zielony,Tak,Tak,Tak,,Polska,Tak,Nowe,,,,,,,,,,,,
32,Firmy,Motocykle,CF Moto,ZForce,2022,1 km,1 000 cm3,80 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
33,Osoby prywatnej,Motocykle,Harley-Davidson,FXSB Breakout,2018,9 900 km,1 868 cm3,100 KM,Pas napędowy,,Benzyna,Manualna,Chopper,Bordowy,,,,,Stany Zjednoczone,Tak,Używane,,Tak,,Tak,Tak,,,,,,,
34,Osoby prywatnej,Motocykle,Harley-Davidson,FLHTCU Ultra,2010,15 313 km,1 584 cm3,82 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,,Tak,Używane,LB2030,Tak,Metalik,,Tak,08/07/2010,,,Tak,,,
35,Firmy,Motocykle,Benelli,TRK 502,2021,4 500 km,500 cm3,48 KM,Łańcuch,,Benzyna,Manualna,Turystyczny,Biały,,Tak,,,Polska,Tak,Używane,ZSD 3E07,Tak,,Tak,Tak,02/06/2021,,,,,,
36,Osoby prywatnej,Motocykle,Aprilia,Atlantic,2006,34 112 km,459 cm3,37 KM,,Czterosuwowy,Benzyna,Automatyczna,Skuter,Szary,,,,,Francja,,Używane,WPIG20P,,Matowy,,Tak,30/05/2006,,,,,,
37,Firmy,Motocykle,Segway,Fugleman UT10,2021,1 km,1 000 cm3,105 KM,Wał kardana,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Inny kolor,Tak,Tak,Tak,,,Tak,Nowe,,,,,,,,,,,,
38,Osoby prywatnej,Motocykle,Benelli,Leoncino Trail,2021,560 km,500 cm3,48 KM,Łańcuch,Dwusuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Polska,Tak,Używane,DGL3H20,Tak,Metalik,Tak,Tak,05/05/2022,,,,31/05/2024,,
39,Firmy,Motocykle,CF Moto,Inny,2022,1 km,700 cm3,71 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Inny kolor,,Tak,,24 miesięcy,,Tak,Nowe,,Tak,,,,,,,,,,
40,Osoby prywatnej,Motocykle,BMW,R,2005,63 000 km,1 150 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,,Używane,zmy 66an,,Metalik,,Tak,,,,,,,
41,Firmy,Motocykle,BMW,GS,2021,1 km,313 cm3,34 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Inny kolor,Tak,Tak,Tak,36 miesięcy,,Tak,Nowe,,,,,,,,,,,,
42,Firmy,Motocykle,Kymco,MXU,2021,1 km,300 cm3,,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Zielony,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
43,Osoby prywatnej,Motocykle,Polaris,Scrambler,2015,8 000 km,952 cm3,89 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Biały,,Tak,,,,Tak,Używane,,,Matowy,,Tak,,,,,,,
44,Firmy,Motocykle,BMW,S,2022,1 km,999 cm3,165 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Naked,Szary,Tak,Tak,Tak,60 miesięcy,,Tak,Nowe,,,Metalik,,,,,,,,,
45,Osoby prywatnej,Motocykle,Yamaha,YZF,2009,1 km,450 cm3,50 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Niebieski,,,,,Belgia,,Używane,,,Matowy,,,,,,,,,
46,Firmy,Motocykle,Bashan,Inny,2022,1 km,125 cm3,14 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,,Tak,,24 miesięcy,,Tak,Nowe,,Tak,,,,,,,,,,
47,Osoby prywatnej,Motocykle,Kawasaki,Ninja,2011,33 000 km,599 cm3,128 KM,Łańcuch,,Benzyna,,Sportowy,Biały,,,,,,,Używane,,,,,,,,,,,JKAZX600RRA025285,
48,Firmy,Motocykle,Yamaha,TTR,2022,1 km,110 cm3,,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Krosowy,Niebieski,Tak,Tak,,,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
49,Osoby prywatnej,Motocykle,Honda,GL,1982,83 500 km,1 085 cm3,,,Czterosuwowy,Benzyna,Manualna,Cruiser,Brązowy,,Tak,,,Holandia,,Używane,,,Metalik,,Tak,,,,,,,
50,Osoby prywatnej,Motocykle,Suzuki,GSX-R,2010,48 000 km,,,,,Benzyna,,Sportowy,Biały,,,,,,,Używane,,,Perłowy,,,,,,,,,
51,Osoby prywatnej,Motocykle,SMC,RAM,2022,6 km,170 cm3,12 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Quad,Czerwony,,,,,,,Używane,,,Matowy,,,,,,,,,
52,Osoby prywatnej,Motocykle,Honda,Deauville,2001,34 800 km,650 cm3,,Wał kardana,,Benzyna,Manualna,Turystyczny,Zielony,,,,,Wielka Brytania,,Używane,KLIPY09,,Metalik,,Tak,02/10/2001,,,,,,
53,Firmy,Motocykle,BMW,Adventure,2022,1 km,1 254 cm3,136 KM,Wał kardana,Czterosuwowy,Benzyna,Półautomatyczna,Enduro,Czarny,,,,60 miesięcy,,Tak,Nowe,,,Metalik,,,,,,,,,
54,Osoby prywatnej,Motocykle,Honda,VF,1995,72 294 km,748 cm3,88 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Czerwony,,,,,,Tak,Używane,,,Matowy,Tak,Tak,,,,,,,
55,Osoby prywatnej,Motocykle,BMW,GS,2018,19 500 km,850 cm3,95 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,Tak,,,Polska,Tak,Używane,SG062F,Tak,,Tak,Tak,07/11/2018,,,,07/11/2023,,500 000 km
56,Osoby prywatnej,Motocykle,TGB,Blade,2020,820 km,,83 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czarny,,Tak,,,Polska,Tak,Używane,POSG83L,Tak,Matowy,,Tak,28/09/2020,,,,,,
57,Osoby prywatnej,Motocykle,Suzuki,DL,2005,87 250 km,650 cm3,67 KM,Łańcuch,,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,,Używane,SBI5U74,,Metalik,,,06/04/2005,,,,,,
58,Osoby prywatnej,Motocykle,BMW,GS,2022,97 km,1 250 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,,,,,Polska,Tak,Używane,,Tak,,Tak,Tak,,,,,05/04/2025,,
59,Firmy,Motocykle,Niu,N,2021,1 km,,,,Elektryczny,Elektryczny,,Skuter,Inny kolor,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
60,Osoby prywatnej,Motocykle,Suzuki,GSX,2020,1 680 km,124 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,02/07/2021,,,,,,
61,Firmy,Motocykle,Kymco,Agility,2020,1 km,50 cm3,4 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Inny kolor,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
62,Osoby prywatnej,Motocykle,Honda,CBR,2001,37 000 km,,,,,Benzyna,,Sportowy,Inny kolor,,,,,,,Używane,,,,,,,,,,,,
63,Osoby prywatnej,Motocykle,Can-Am,Outlander,2020,200 km,854 cm3,80 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Czarny,,,,,Stany Zjednoczone,Tak,Używane,,,Metalik,,,,,,,,,
64,Firmy,Motocykle,Kawasaki,Zephyr,1993,68 000 km,750 cm3,72 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Żółty,Tak,,,,Niemcy,Tak,Używane,,Tak,Metalik,,,,,,Tak,,,
65,Firmy,Motocykle,Suzuki,Burgman,2009,21 000 km,125 cm3,12 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,,,,Niemcy,Tak,Używane,,Tak,Metalik,Tak,,,,,Tak,,,
66,Osoby prywatnej,Motocykle,Honda,CBF,2008,83 km,600 cm3,65 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Wielka Brytania,,Używane,13692,,Metalik,,,12/03/2008,,,,,,
67,Osoby prywatnej,Motocykle,Yamaha,MT,2014,29 974 km,689 cm3,75 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Szary,,,,,,,Używane,,,Matowy,,Tak,,,,,,,
68,Osoby prywatnej,Motocykle,Suzuki,Intruder,2011,11 475 km,805 cm3,53 KM,Wał kardana,,Benzyna,Manualna,Cruiser,Czarny,,,,,Polska,Tak,Używane,EL 69C7,,,,Tak,31/08/2011,,,,,,
69,Firmy,Motocykle,Aprilia,RS,2022,1 km,659 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,Tak,Tak,Tak,,,Tak,Nowe,,,Matowy,,,,,,,,,
70,Osoby prywatnej,Motocykle,Moto Morini,Inny,2010,18 000 km,1 200 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Biały,,,,,Szwajcaria,Tak,Używane,,Tak,,,Tak,,,,,,,
71,Osoby prywatnej,Motocykle,Triumph,Tiger,2016,10 000 km,800 cm3,,,,Benzyna,Manualna,Turystyczny,Biały,,,,,,,Używane,,Tak,,,Tak,,,,,,,
72,Osoby prywatnej,Motocykle,Honda,VT,2005,2 339 km,745 cm3,45 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,,Tak,Używane,,Tak,Metalik,,Tak,,,,,,,
73,Osoby prywatnej,Motocykle,Yamaha,Royal Star,1997,36 534 km,1 294 cm3,73 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Beżowy,,,,,,Tak,Używane,GST 1W55,Tak,Metalik,,Tak,05/03/1997,,,,,,
74,Osoby prywatnej,Motocykle,Suzuki,Savage,1993,37 000 km,652 cm3,27 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Niemcy,,Używane,FSD2U66,,Metalik,,Tak,07/07/1993,,,,,,
75,Osoby prywatnej,Motocykle,Yamaha,FZS,1999,81 000 km,600 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,,,,,,,Używane,,,Metalik,,,,,,,,,
76,Osoby prywatnej,Motocykle,Suzuki,Bandit,2009,33 700 km,,,,,Benzyna,,Turystyczny,Czarny,,,,,,,Używane,,,,,,,,,,,,
77,Osoby prywatnej,Motocykle,Kawasaki,Z,2020,5 000 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,,,Używane,,,Matowy,,,,,,,,,
78,Firmy,Motocykle,CF Moto,ZForce,2021,,1 000 cm3,80 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,24 miesięcy,Inny,Tak,Nowe,,,Metalik,,,,,,,,,
79,Osoby prywatnej,Motocykle,KTM,EXC,2019,4 608 km,298 cm3,80 KM,,Dwusuwowy,Benzyna,Manualna,Enduro,Biały,,,,,Polska,,Używane,Epaxxxx,,Matowy,,,05/05/2020,,,,,,4 608 km
80,Osoby prywatnej,Motocykle,Kawasaki,Vulcan,1995,48 792 km,805 cm3,55 KM,,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,19/07/1995,,,,,,
81,Osoby prywatnej,Motocykle,Honda,Transalp,2000,28 550 km,647 cm3,53 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,,,,Włochy,,Używane,,,,,Tak,06/06/2001,,,,,,
82,Osoby prywatnej,Motocykle,Suzuki,Burgman,2018,18 410 km,638 cm3,54 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,,,,,Francja,Tak,Używane,PZ64H9,Tak,,,Tak,,,,,,,
83,Osoby prywatnej,Motocykle,Yamaha,X-max,2012,38 000 km,250 cm3,20 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,,Tak,,,Francja,Tak,Używane,PK 7021,Tak,Perłowy,,Tak,22/04/2022,,,,,,
84,Osoby prywatnej,Motocykle,Suzuki,Bandit,2006,59 086 km,656 cm3,77 KM,,Dwusuwowy,Benzyna,Manualna,Turystyczny,Srebrny,,,,,,Tak,Używane,,,Metalik,,Tak,,,,,,,
85,Osoby prywatnej,Motocykle,Harley-Davidson,Dyna,2012,28 981 km,1 688 cm3,88 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Stany Zjednoczone,,Używane,WY3261,,Matowy,,Tak,29/03/2017,,,,,,
86,Osoby prywatnej,Motocykle,Kawasaki,ER,2011,21 000 km,649 cm3,72 KM,Łańcuch,Dwusuwowy,Benzyna,Manualna,Naked,Czerwony,,,,,Niemcy,Tak,Używane,DX4957,,Metalik,,Tak,23/11/2011,,,,,,
87,Osoby prywatnej,Motocykle,Yamaha,MT,2018,20 000 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Szwajcaria,Tak,Używane,LBL62G9,,Metalik,,Tak,15/04/2018,,,,,,
88,Osoby prywatnej,Motocykle,Romet,RCR,2019,2 228 km,124 cm3,11 KM,Łańcuch,,Benzyna,Manualna,Cruiser,Czarny,,,,,Polska,Tak,Używane,BMN40MS,Tak,,Tak,Tak,18/05/2020,Tak,,,,,
89,Firmy,Motocykle,Harley-Davidson,Inny,2022,,975 cm3,90 KM,Pas napędowy,,Benzyna,Manualna,Cruiser,Czarny,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
90,Firmy,Motocykle,BMW,C1,2022,1 km,350 cm3,34 KM,,,Benzyna,Automatyczna,Skuter,Czarny,Tak,Tak,Tak,,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
91,Firmy,Motocykle,KTM,RC 8,2011,23 000 km,1 195 cm3,98 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Biały,,,,,Francja,,Używane,,,Metalik,,,,,Tak,Tak,,,
92,Firmy,Motocykle,BMW,R,2022,,1 254 cm3,136 KM,,,Benzyna,Manualna,Enduro,Czarny,Tak,Tak,Tak,,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
93,Firmy,Motocykle,Zontes,125 U1,2022,1 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,Tak,,24 miesięcy,Polska,Tak,Nowe,,Tak,Metalik,,,,,,,,,
94,Osoby prywatnej,Motocykle,BMW,F,2008,64 000 km,798 cm3,71 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,Tak,Używane,RJA V28X,,Metalik,,Tak,12/09/2008,,,,,,
95,Osoby prywatnej,Motocykle,BMW,K,2011,79 428 km,,,,Czterosuwowy,Benzyna,,Turystyczny,Czerwony,,,,,,,Używane,,,Metalik,,,,,,,,,
96,Firmy,Motocykle,Kymco,Agility City A-C,2020,1 km,49 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,Tak,,24 miesięcy,,Tak,Nowe,,,Metalik,,,,,,,,,
97,Osoby prywatnej,Motocykle,Kawasaki,Z,2010,38 222 km,748 cm3,106 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Żółty,,,,,,,Używane,,,Perłowy,,Tak,,,,,,,
98,Osoby prywatnej,Motocykle,Yamaha,Virago,1995,32 000 km,749 cm3,,Wał kardana,,Benzyna,,Chopper,Inny kolor,,,,,,,Używane,,,,,,,,,,,,
99,Osoby prywatnej,Motocykle,Yamaha,Tmax,2017,11 080 km,530 cm3,44 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Skuter,Szary,,,,,Polska,Tak,Używane,WF7392,,Matowy,Tak,Tak,28/04/2017,,,,,,
100,Firmy,Motocykle,Can-Am,Outlander,2022,1 km,1 000 cm3,80 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
101,Osoby prywatnej,Motocykle,Yamaha,R1,2012,10 250 km,999 cm3,199 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Szary,,,,,,,Używane,,,Matowy,,Tak,,,,,,,
102,Osoby prywatnej,Motocykle,Suzuki,SV,2007,720 km,650 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,,Tak,Używane,,Tak,Metalik,,Tak,12/07/2007,,,,,,
103,Osoby prywatnej,Motocykle,Honda,XRV,1994,53 000 km,750 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Biały,,,,,,Tak,Używane,,,,,Tak,19/05/1994,,,,,,
104,Osoby prywatnej,Motocykle,BMW,GS,2017,7 576 km,798 cm3,86 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Enduro,Biały,,,,,Polska,Tak,Używane,ETM A55K,,Perłowy,Tak,Tak,13/04/2017,,,,,,
105,Osoby prywatnej,Motocykle,Harley-Davidson,Road King,2014,52 600 km,1 690 cm3,,Pas napędowy,,Benzyna,Manualna,Chopper,Bordowy,,,,,Stany Zjednoczone,,Używane,CMG 4M60,,Metalik,,Tak,,Tak,Tak,,,,
106,Osoby prywatnej,Motocykle,Kawasaki,Zephyr,1992,94 000 km,750 cm3,72 KM,Łańcuch,,Benzyna,Manualna,Naked,Brązowy,,,,,,,Używane,,,,,Tak,,,,,,,
107,Osoby prywatnej,Motocykle,Ducati,848,2008,40 000 km,,,,,Benzyna,,Sportowy,Biały,,,,,,,Używane,,,Perłowy,,,,,,,,,
