,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
108,Firmy,Motocykle,CF Moto,C-Force,2022,1 km,495 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czarny,Tak,Tak,Tak,24 miesięcy,Inny,Tak,Nowe,,,Metalik,,,,,,,,,
109,Osoby prywatnej,Motocykle,BMW,F,2006,45 000 km,798 cm3,86 KM,Pas napędowy,,Benzyna,Manualna,Sportowy,Niebieski,Tak,,,,Polska,Tak,Używane,SBL 12JL,,Metalik,Tak,Tak,20/12/2006,,,,,,
110,Osoby prywatnej,Motocykle,Honda,VT,2019,57 km,1 300 cm3,,,,Benzyna,,Chopper,Niebieski,,,,,,Tak,Używane,EP 8137,Tak,,,Tak,,,,,,,
111,Osoby prywatnej,Motocykle,Yamaha,FZ,2008,47 000 km,1 000 cm3,150 KM,,Czterosuwowy,Benzyna,,Naked,Niebieski,,,,,Polska,Tak,Używane,,,,,Tak,,,,,,,
112,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,2015,6 850 km,883 cm3,53 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Polska,Tak,Używane,ED 2905,,Matowy,Tak,Tak,,Tak,,,,,
113,Osoby prywatnej,Motocykle,Triumph,Daytona,2012,43 100 km,675 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,Szwajcaria,,Używane,RK 5283,,Metalik,,Tak,22/03/2012,,,,,,
114,Osoby prywatnej,Motocykle,Peugeot,Inny,2020,420 km,125 cm3,15 KM,,,Benzyna,Automatyczna,Skuter,Inny kolor,,,,,Polska,Tak,Używane,,Tak,Matowy,Tak,Tak,,,,,15/04/2023,,
115,Osoby prywatnej,Motocykle,BMW,RT,2016,10 300 km,1 170 cm3,124 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Brązowy,,,,,,,Używane,,,Metalik,,Tak,,,,,,,
116,Osoby prywatnej,Motocykle,Yamaha,MT,2015,18 000 km,,,,,Benzyna,,Turystyczny,Srebrny,,,,,,,Używane,,,Matowy,,,,,,,,,
117,Osoby prywatnej,Motocykle,Triumph,Tiger,2019,9 040 km,800 cm3,95 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Czarny,,,,,,,Używane,WSI8WG7,Tak,Matowy,,Tak,01/01/2022,,,,,,
118,Osoby prywatnej,Motocykle,Harley-Davidson,Road King,2007,46 882 km,1 600 cm3,97 KM,Pas napędowy,Czterosuwowy,Benzyna,,Chopper,Czarny,,,,,Stany Zjednoczone,Tak,Używane,,,Metalik,,Tak,,,,,,,
119,Firmy,Motocykle,Suzuki,Burgman,2005,28 000 km,125 cm3,12 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,Tak,,,,Niemcy,Tak,Używane,,Tak,Metalik,Tak,,,,,Tak,,,
120,Osoby prywatnej,Motocykle,Yamaha,FJR,2006,82 000 km,1 300 cm3,147 KM,Wał kardana,,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,Tak,Używane,,,Metalik,,Tak,,,,,,,
121,Osoby prywatnej,Motocykle,Victory,Vision,2012,24 517 km,1 731 cm3,95 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Inny kolor,,,,,,,Używane,,,Metalik,,Tak,,,,,,,
122,Osoby prywatnej,Motocykle,Honda,CBR,2006,44 000 km,600 cm3,120 KM,,Czterosuwowy,Benzyna,Manualna,Sportowy,Czerwony,,,,,Polska,Tak,Używane,SZA7E05,,Metalik,,Tak,18/05/2006,Tak,,,,,
123,Osoby prywatnej,Motocykle,Yamaha,XJ,2000,44 126 km,599 cm3,61 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Zielony,,,,,Niemcy,Tak,Używane,PNTNS28,Tak,,,Tak,14/04/2000,,,Tak,,,
124,Osoby prywatnej,Motocykle,Suzuki,Hayabusa,2008,25 484 km,1 340 cm3,197 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Inny kolor,,,,,,Tak,Używane,PCH 07VR,,Metalik,,Tak,30/05/2008,,,,,,
125,Osoby prywatnej,Motocykle,Yamaha,XJ,1985,40 000 km,696 cm3,72 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Holandia,Tak,Używane,PKL RP53,Tak,Metalik,,Tak,,,,,,,
126,Osoby prywatnej,Motocykle,BMW,K,2019,11 000 km,1 600 cm3,160 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Turystyczny,Srebrny,,Tak,,,Polska,Tak,Używane,,Tak,Metalik,Tak,Tak,29/03/2019,,,,,,
127,Osoby prywatnej,Motocykle,BMW,LT,2002,66 000 km,1 200 cm3,98 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,Belgia,,Używane,,,,,Tak,,,,,,,
128,Firmy,Motocykle,Polaris,Sportsman,2021,1 km,567 cm3,44 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Biały,Tak,Tak,Tak,,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
129,Osoby prywatnej,Motocykle,Yamaha,Virago,1994,26 600 km,535 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Niebieski,,,,,,Tak,Używane,EZD 57S3,,Metalik,,Tak,08/03/1994,,,,,,
130,Osoby prywatnej,Motocykle,Harley-Davidson,Street 750,2019,1 500 km,749 cm3,,Pas napędowy,Czterosuwowy,Benzyna,,Naked,Czarny,,,,,Polska,Tak,Używane,,Tak,Metalik,Tak,Tak,,,,,,,
131,Osoby prywatnej,Motocykle,Husqvarna,TC,2014,113 km,,,,,Benzyna,,Krosowy,Inny kolor,,,,,,Tak,Używane,,,,,,,,,,,,
132,Osoby prywatnej,Motocykle,BMW,RT,2013,72 122 km,1 200 cm3,,Wał kardana,Czterosuwowy,Benzyna,,Turystyczny,Biały,,,,,Stany Zjednoczone,,Używane,,,,,,,,,,,,
133,Osoby prywatnej,Motocykle,Harley-Davidson,V-Rod,2008,970 km,1 250 cm3,116 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Stany Zjednoczone,Tak,Używane,SPS20XA,Tak,Matowy,,Tak,29/12/2008,,,,,,
134,Osoby prywatnej,Motocykle,Suzuki,Boulevard,2008,72 000 km,1 783 cm3,125 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Inny kolor,,,,,,,Używane,KMYA66A,,Perłowy,,Tak,12/08/2008,,,,,,
135,Firmy,Motocykle,Peugeot,Citystar,2014,16 000 km,125 cm3,14 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Biały,Tak,,,,Francja,Tak,Używane,,Tak,Metalik,Tak,,,,,Tak,,,
136,Osoby prywatnej,Motocykle,Honda,CB,2004,62 281 km,1 300 cm3,115 KM,Łańcuch,,Benzyna,Manualna,Naked,Czarny,,,,,,,Używane,,,Metalik,,Tak,,,,,,,
137,Osoby prywatnej,Motocykle,Yamaha,Midnight Star,2009,37 300 km,950 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Bordowy,,,,,Stany Zjednoczone,,Używane,,,,,,,,,,,,
138,Osoby prywatnej,Motocykle,Kawasaki,VN,2006,40 km,2 053 cm3,105 KM,Pas napędowy,Czterosuwowy,Benzyna,,Chopper,Czarny,,,,,,,Używane,WSE14C8,,,,,01/01/2006,,,,,,
139,Osoby prywatnej,Motocykle,BMW,K,2018,33 000 km,1 600 cm3,,,,Benzyna,Manualna,Turystyczny,Czarny,,,,,,,Używane,,,Metalik,,,,,,Tak,,,
140,Firmy,Motocykle,Yamaha,YX,2022,1 km,998 cm3,,,Czterosuwowy,Benzyna,Półautomatyczna,Quad,Żółty,,Tak,,24 miesięcy,Polska,Tak,Nowe,,Tak,Metalik,,,,,,,,,
141,Osoby prywatnej,Motocykle,Can-Am,Renegade,2019,1 250 km,1 000 cm3,91 KM,Pas napędowy,,Benzyna,Automatyczna,Quad,Czarny,Tak,Tak,Tak,,Polska,,Używane,,Tak,,Tak,Tak,,,,Tak,,,
142,Osoby prywatnej,Motocykle,Yamaha,FZS,2001,61 000 km,1 000 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Niebieski,,,,,Niemcy,Tak,Używane,,,Metalik,Tak,,,,,,,,
143,Osoby prywatnej,Motocykle,Can-Am,Renegade,2015,7 397 km,500 cm3,18 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Żółty,,,,,Francja,,Używane,PKNUG94,Tak,Matowy,,,15/01/2015,,,,,,
144,Osoby prywatnej,Motocykle,Ducati,Scrambler,2019,3 100 km,803 cm3,73 KM,,,Benzyna,,Naked,Żółty,,,,,Polska,Tak,Używane,,,,,,,,,,,,
145,Osoby prywatnej,Motocykle,Yamaha,XVS,2008,10 750 km,1 300 cm3,72 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Bordowy,,Tak,,,Inny,Tak,Używane,PZ 209E,,Metalik,,Tak,01/01/2008,,,,,,
146,Osoby prywatnej,Motocykle,Can-Am,Renegade,2016,1 200 km,976 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Czarny,Tak,Tak,Tak,,Stany Zjednoczone,Tak,Używane,,Tak,Metalik,Tak,Tak,,,,,,,
147,Firmy,Motocykle,Can-Am,Renegade,2021,1 km,650 cm3,60 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Beżowy,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,Matowy,,,,,,,,,
148,Firmy,Motocykle,Can-Am,Outlander,2021,1 km,1 000 cm3,91 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Srebrny,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
149,Firmy,Motocykle,Can-Am,Renegade,2021,1 km,650 cm3,60 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Beżowy,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
150,Firmy,Motocykle,Yamaha,Grizzly,2020,2 000 km,686 cm3,50 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Quad,Złoty,,,,,Niemcy,Tak,Używane,WGR3TG3,Tak,Matowy,Tak,Tak,25/08/2020,,,Tak,,,
151,Firmy,Motocykle,CF Moto,Inny,2021,1 km,800 cm3,62 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Inny kolor,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
152,Firmy,Motocykle,Benelli,BN 125,2022,1 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,Tak,Tak,Tak,24 miesięcy,,Tak,Nowe,,,Perłowy,,,,,,,,,
153,Firmy,Motocykle,Niu,U,2020,5 km,,1 200 KM,,Elektryczny,Elektryczny,,Motorower,Czarny,Tak,Tak,Tak,24 miesięcy,Polska,Tak,Nowe,,,Matowy,,,,,,,,,
154,Firmy,Motocykle,CF Moto,Inny,2021,1 km,500 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czerwony,Tak,Tak,,,,Tak,Nowe,,,,,,,,,,,,
155,Osoby prywatnej,Motocykle,Moto Guzzi,California,1987,29 800 km,1 000 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Szary,,,,,,Tak,Używane,,,,Tak,Tak,,,,,,,
156,Osoby prywatnej,Motocykle,Honda,NSS,2021,3 040 km,745 cm3,59 KM,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,,,,Polska,Tak,Używane,WD428E,Tak,Perłowy,Tak,Tak,26/04/2021,,,,25/04/2025,,
157,Osoby prywatnej,Motocykle,Kawasaki,VN,2006,43 397 km,900 cm3,,Pas napędowy,,Benzyna,Manualna,Cruiser,Czarny,,,,,Niemcy,Tak,Używane,,,Metalik,,Tak,01/06/2006,,,,,,
158,Osoby prywatnej,Motocykle,BMW,RT,2002,89 000 km,,95 KM,Wał kardana,,Benzyna,Manualna,Turystyczny,Srebrny,,,,,Polska,Tak,Używane,,,Metalik,,Tak,,,,,,,
159,Osoby prywatnej,Motocykle,Harley-Davidson,Softail,2008,37 400 km,1 600 cm3,,,,Benzyna,,Chopper,Czarny,,,,,Stany Zjednoczone,Tak,Używane,,,Metalik,,Tak,01/01/2008,Tak,,,,,
160,Osoby prywatnej,Motocykle,Honda,Shadow,2003,57 500 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,Tak,,,,Niemcy,Tak,Używane,DLUAN23,,Metalik,Tak,Tak,27/03/2003,,,,,,
161,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,1995,20 000 km,1 200 cm3,,,Dwusuwowy,Benzyna,,Chopper,Czarny,,,,,Stany Zjednoczone,,Używane,,,,,,,,,,,,
162,Osoby prywatnej,Motocykle,BMW,K,2017,31 567 km,1 649 cm3,160 KM,Wał kardana,Czterosuwowy,Benzyna,Półautomatyczna,Turystyczny,Niebieski,,,,,Polska,Tak,Używane,NOL 7U77,Tak,Perłowy,Tak,Tak,23/03/2017,,,,,,
163,Osoby prywatnej,Motocykle,Honda,GL,1988,59 704 km,1 181 cm3,94 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Bordowy,,,,,,Tak,Używane,,Tak,Metalik,,,,,,Tak,,,
164,Osoby prywatnej,Motocykle,BMW,R,1983,40 000 km,1 000 cm3,70 KM,,,Benzyna,,Turystyczny,Srebrny,,,,,,Tak,Używane,,,Metalik,,Tak,,,,,,,
165,Firmy,Motocykle,BMW,R,1981,111 042 km,979 cm3,70 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,,Tak,Używane,,,,Tak,Tak,,,,,,,
166,Osoby prywatnej,Motocykle,Super Soco,TS,2022,1 km,,3 KM,,,Elektryczny,Bezstopniowa,Motorower,Inny kolor,Tak,Tak,,,Polska,Tak,Używane,,Tak,,,,,,,,,,
167,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,2022,1 km,1 252 cm3,121 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,Tak,Tak,Tak,,Polska,Tak,Używane,EO HD1,,Perłowy,,Tak,05/03/2022,,,,,,
168,Osoby prywatnej,Motocykle,Suzuki,GSX,2021,1 400 km,999 cm3,152 KM,,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Polska,Tak,Używane,FG 7781,Tak,Metalik,Tak,Tak,15/02/2022,Tak,,,15/02/2024,,
169,Osoby prywatnej,Motocykle,Aprilia,Tuono,2021,3 400 km,1 077 cm3,175 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Polska,Tak,Używane,WP8066,Tak,Perłowy,Tak,Tak,20/08/2021,Tak,,,20/08/2023,,
170,Firmy,Motocykle,Can-Am,Outlander Max,2021,1 km,998 cm3,80 KM,,,Benzyna,Bezstopniowa,Quad,Czarny,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
171,Firmy,Motocykle,Yamaha,Tracer,2022,1 km,900 cm3,119 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czerwony,,Tak,,,Polska,Tak,Nowe,,,Metalik,,,,,,,,,
172,Firmy,Motocykle,Yamaha,Tenere,2022,1 km,689 cm3,73 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Enduro,Niebieski,Tak,Tak,,,Polska,Tak,Nowe,,,Matowy,,,,,,,,,
173,Osoby prywatnej,Motocykle,Honda,VTX,2007,7 966 km,1 312 cm3,74 KM,,Czterosuwowy,Benzyna,,Chopper,Czarny,,,,,Stany Zjednoczone,,Używane,,,Metalik,,Tak,,,,,,,
174,Firmy,Motocykle,VELEX,M8,2021,1 km,,4 KM,,Elektryczny,Elektryczny,Automatyczna,Skuter,Niebieski,,Tak,,,,Tak,Nowe,,,,,,,,,,,,
175,Osoby prywatnej,Motocykle,Honda,CB,1999,52 500 km,998 cm3,106 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Francja,Tak,Używane,,,Metalik,,Tak,14/01/1999,,,,,,
176,Osoby prywatnej,Motocykle,Yamaha,FZ,2006,49 000 km,1 000 cm3,150 KM,Łańcuch,,Benzyna,Manualna,Turystyczny,Niebieski,,,,,,Tak,Używane,Dx1860,,Metalik,,Tak,08/05/2006,,,,,,
177,Osoby prywatnej,Motocykle,Peugeot,Citystar,2018,11 327 km,125 cm3,15 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Czarny,,,,,Niemcy,,Używane,,,,,Tak,,,,,,,
178,Osoby prywatnej,Motocykle,Romet,RCR,2019,3 002 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Chopper,Biały,,,,,,Tak,Używane,WM064S,,Metalik,Tak,Tak,19/04/2019,,,,,,
179,Osoby prywatnej,Motocykle,KTM,EXC,2015,153 km,449 cm3,,Łańcuch,,Benzyna,Manualna,Enduro,Inny kolor,,,,,,Tak,Używane,WGM C50S,Tak,,,Tak,,,,,,,
180,Osoby prywatnej,Motocykle,Yamaha,FZ,2011,50 250 km,,,,Czterosuwowy,Benzyna,,Naked,Fioletowy,,,,,,,Używane,,,Metalik,,,,,,,,,
181,Firmy,Motocykle,Honda,Shadow,2001,21 000 km,125 cm3,15 KM,,,Benzyna,,Chopper,Srebrny,Tak,,,,Francja,Tak,Używane,,,,,,,,,Tak,,,
182,Osoby prywatnej,Motocykle,Suzuki,Bandit,1996,42 000 km,600 cm3,77 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,,,,,Niemcy,,Używane,SL6033,,Metalik,,Tak,04/07/1996,,,,,,
183,Osoby prywatnej,Motocykle,Kawasaki,Z,2019,11 437 km,948 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Inny kolor,,,,,Niemcy,Tak,Używane,DW8737,Tak,Metalik,,Tak,27/06/2019,,,,,,
184,Firmy,Motocykle,Inny,Inny,2021,1 km,250 cm3,21 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Czarny,Tak,Tak,,3 miesięcy,Polska,Tak,Nowe,,,,,,,,,,,,
185,Osoby prywatnej,Motocykle,BMW,RT,1998,81 500 km,1 085 cm3,90 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Turystyczny,Srebrny,,,,,Niemcy,Tak,Używane,,,Metalik,,,,,,,,,
186,Osoby prywatnej,Motocykle,Yamaha,Drag Star,2005,24 500 km,649 cm3,39 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Chopper,Czerwony,,,,,Stany Zjednoczone,Tak,Używane,WH2560,,Metalik,,Tak,,,,,,,
187,Osoby prywatnej,Motocykle,Yamaha,Drag Star,2006,33 000 km,649 cm3,29 KM,Wał kardana,Dwusuwowy,Benzyna,Manualna,Chopper,Czarny,,,,,Belgia,Tak,Używane,SM 300A,,Metalik,,Tak,15/02/2006,,,,,,
188,Osoby prywatnej,Motocykle,Kawasaki,Ninja,2020,2 700 km,650 cm3,68 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Czarny,,,,,Francja,,Używane,,,Perłowy,,Tak,,,,,,,2 700 km
189,Firmy,Motocykle,Inny,Inny,2021,1 km,70 cm3,,Łańcuch,Czterosuwowy,Benzyna,Automatyczna,Krosowy,Inny kolor,Tak,Tak,,12 miesięcy,Niemcy,Tak,Nowe,,,,,,,,,,,,
190,Osoby prywatnej,Motocykle,Yamaha,TDM,1994,51 000 km,,,,,Benzyna,,Turystyczny,Zielony,,,,,,,Używane,,,Metalik,,Tak,,,,,,,
191,Firmy,Motocykle,Honda,Varadero,2011,16 000 km,125 cm3,15 KM,,,Benzyna,,Turystyczny,Czerwony,,,,,Austria,Tak,Używane,,Tak,,,Tak,,,,Tak,,,
192,Osoby prywatnej,Motocykle,Yamaha,MT,2015,23 000 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,Polska,Tak,Używane,WSE87A4,,Metalik,Tak,Tak,17/07/2015,Tak,,,,,
193,Osoby prywatnej,Motocykle,Yamaha,Tracer,2017,33 650 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Zielony,,,,,Polska,Tak,Używane,KWA A1UC,Tak,,Tak,Tak,20/04/2018,,,,,,
194,Osoby prywatnej,Motocykle,Yamaha,Tricity,2018,35 000 km,125 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,,,,,Tak,Używane,,,,,,,,,Tak,,,
195,Firmy,Motocykle,Honda,Shadow,2001,12 000 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,,Chopper,Srebrny,Tak,,,,Francja,,Używane,,,Metalik,,,,,,Tak,,,
196,Osoby prywatnej,Motocykle,Piaggio,X8,2006,32 600 km,198 cm3,19 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Niebieski,,,,,Polska,,Używane,,,,,Tak,,,,,,,
197,Firmy,Motocykle,Kymco,MXU,2012,6 000 km,443 cm3,33 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Srebrny,Tak,,,,Niemcy,Tak,Używane,,Tak,Metalik,Tak,Tak,,,,Tak,,,
198,Firmy,Motocykle,Inny,Inny,2021,1 km,,,Łańcuch,Elektryczny,Elektryczny,Automatyczna,Quad,Inny kolor,,Tak,,12 miesięcy,Niemcy,Tak,Nowe,,,,,,,,,,,,
199,Firmy,Motocykle,Inny,Inny,2021,1 km,,,Łańcuch,Elektryczny,Elektryczny,Automatyczna,Quad,Inny kolor,,Tak,,12 miesięcy,Niemcy,Tak,Nowe,,,,,,,,,,,,
200,Firmy,Motocykle,Inny,Inny,2021,1 km,,,Łańcuch,Elektryczny,Elektryczny,Automatyczna,Quad,Inny kolor,,Tak,,12 miesięcy,Niemcy,Tak,Nowe,,,,,,,,,,,,
201,Firmy,Motocykle,Inny,Inny,2021,1 km,,,Łańcuch,Elektryczny,Elektryczny,Automatyczna,Quad,Inny kolor,,Tak,,,Niemcy,Tak,Nowe,,,,,,,,,,,,
202,Firmy,Motocykle,Inny,Inny,2020,1 000 km,125 cm3,11 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,,Niemcy,Tak,Używane,,Tak,Metalik,Tak,,,,,Tak,,,
203,Firmy,Motocykle,Diabolini,Inny,2021,1 km,250 cm3,24 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Inny kolor,,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
204,Osoby prywatnej,Motocykle,Arctic Cat,Inny,2012,3 200 km,1 000 cm3,108 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Enduro,Zielony,,,,,Polska,,Używane,,,Metalik,,Tak,,,,,,,
205,Osoby prywatnej,Motocykle,Piaggio,Liberty,2018,9 500 km,50 cm3,3 KM,Pas napędowy,Czterosuwowy,Benzyna,Automatyczna,Skuter,Żółty,,,,,Austria,Tak,Używane,,,Metalik,Tak,,01/10/2018,,,,,,
206,Firmy,Motocykle,Can-Am,Outlander,2015,6 000 km,650 cm3,60 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Żółty,Tak,,,,Niemcy,Tak,Używane,,Tak,Metalik,Tak,Tak,,,,Tak,,,
207,Firmy,Motocykle,Yamaha,NIKEN,2020,1 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,Metalik,,,,,,,,,
208,Firmy,Motocykle,Yamaha,NIKEN,2020,1 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Czarny,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,Matowy,,,,,,,,,
209,Firmy,Motocykle,Yamaha,NIKEN,2020,1 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
210,Firmy,Motocykle,Yamaha,NIKEN,2020,1 km,847 cm3,115 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Niebieski,Tak,Tak,,24 miesięcy,,Tak,Nowe,,,Matowy,,,,,,,,,
211,Osoby prywatnej,Motocykle,Honda,CX,1980,41 300 km,493 cm3,20 KM,Wał kardana,Czterosuwowy,Benzyna,Manualna,Cruiser,Czerwony,,,,,Niemcy,Tak,Używane,FZ7462,,Metalik,,Tak,06/06/1980,,,,,,
212,Osoby prywatnej,Motocykle,Honda,Super Cub,2019,5 000 km,125 cm3,10 KM,Łańcuch,Czterosuwowy,Benzyna,Półautomatyczna,Skuter,Niebieski,,,,,Belgia,Tak,Używane,,Tak,Metalik,Tak,,,,,,,,
213,Osoby prywatnej,Motocykle,Suzuki,VX,1995,48 700 km,805 cm3,,Wał kardana,,Benzyna,,Naked,Czarny,,,,,,,Używane,,,,,Tak,,,,,,,
214,Firmy,Motocykle,Yamaha,Bulldog,2007,31 000 km,1 100 cm3,,Wał kardana,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,,Tak,Używane,,,Metalik,,,,,,Tak,,,
215,Firmy,Motocykle,Rieju,Inny,2022,1 km,299 cm3,55 KM,Łańcuch,Dwusuwowy,Benzyna,Manualna,Enduro,Inny kolor,Tak,Tak,Tak,24 miesięcy,Hiszpania,Tak,Nowe,,,,,,,,,,,,
216,Firmy,Motocykle,Benelli,502 C,2021,1 km,500 cm3,48 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Inny kolor,Tak,Tak,Tak,24 miesięcy,,Tak,Nowe,,,,,,,,,,,,
